IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
9517.ancestry,-1.72166955e-05,-1.837362e-05,-0.000542846803,-0.000107200989,7.09709024e-05,-9.098165e-05,9.42675451e-05,0.000386686119,-2.59398173e-06,-0.000144455477,-0.000127620269,-7.98930967e-06
9518.23andme,-9.12252798e-06,-1.13918143e-05,-0.000562488699,-0.000112051742,6.16944045e-05,-9.49545211e-05,6.21732984e-05,0.000391014799,-3.07301204e-06,-0.000148353164,-6.58515409e-05,-2.8525051e-07
9519.23andme,-1.08677572e-05,-1.98526067e-05,-0.000555180177,-0.000142389351,8.32184363e-05,-9.91683759e-05,3.07120341e-05,0.000397037648,-1.86301268e-06,-0.000138616058,-0.000128346791,-3.37104835e-06
9523.23andme,-1.22911722e-05,-1.55718347e-05,-0.000552829603,-0.000123392907,6.40676411e-05,-8.89714746e-05,2.72225744e-05,0.000417671489,-2.36380218e-06,-0.000140537355,-0.000116596718,-4.13450591e-06
9526.23andme,-1.19634943e-05,-1.72096505e-05,-0.000570341857,-0.00010298605,7.9923275e-05,-9.67185202e-05,0.000105418979,0.00040949369,-3.95815339e-06,-0.000141829618,-0.000104313553,-4.45557898e-06
9527.23andme,-1.46866722e-05,-1.69547172e-05,-0.000560611826,-9.42900667e-05,6.68452608e-05,-9.81334259e-05,3.90067927e-05,0.00041124389,1.02498399e-06,-0.000131392508,-9.25979907e-05,-5.96079309e-06
9528.23andme,-1.38950388e-05,-2.02607532e-05,-0.000559788817,-0.000127240438,7.25335285e-05,-9.81270512e-05,9.8479931e-06,0.000389428863,-2.10868522e-06,-0.000137563042,-0.000115503086,-3.69274268e-06
9529.ancestry,-1.30336835e-05,-1.80893691e-05,-0.000557431099,-0.000117661324,3.15323492e-05,-0.000100171564,1.05590016e-05,0.000382954455,-7.30777858e-06,-0.000153716645,-0.000141782958,-4.47650932e-06
9530.23andme,-1.54290199e-05,-1.78086987e-05,-0.000555265973,-0.000112690599,6.99084808e-05,-9.35339964e-05,5.75035447e-05,0.000397674814,-1.66088938e-06,-0.000143183772,-0.000109704552,-7.51278756e-06
9534.23andme,-2.10546362e-05,-2.44761274e-05,-0.00055195565,-9.08819936e-05,4.98156679e-05,-9.70764644e-05,7.21574402e-05,0.000400171985,2.08109395e-07,-0.000140658733,-7.64074573e-05,-1.39861648e-05
9535.23andme,-1.32206268e-05,-1.47933026e-05,-0.000543463437,-0.000134291997,8.73625481e-05,-0.000100675569,1.97264055e-05,0.000397953828,-1.10723383e-06,-0.000156877117,-7.56297068e-05,-4.5870567e-06
9539.ancestry,-1.45458548e-05,-1.71194386e-05,-0.000558763195,-0.000118083558,5.59868874e-05,-9.96956764e-05,3.47604455e-05,0.000407177486,-1.57821136e-06,-0.00014002166,-6.56491369e-05,-6.49646099e-06
9540.23andme,-1.68899718e-05,-1.388348e-05,-0.000546252723,-0.000113421491,6.76145935e-05,-9.85113079e-05,4.87722528e-05,0.000394907147,-2.94336223e-06,-0.000147444077,-6.00351888e-05,-9.61569361e-06
